rank,feature,coefficient,abs_coefficient,sign
1,cat__Neighborhood_StoneBr,42782.75470496502,42782.75470496502,positive
2,cat__Neighborhood_NoRidge,41229.37990337258,41229.37990337258,positive
3,cat__LandContour_HLS,30686.871366069543,30686.871366069543,positive
4,cat__Neighborhood_NridgHt,29048.180249670437,29048.180249670437,positive
5,cat__PoolQC_Gd,-28103.831334666163,28103.831334666163,negative
6,cat__BsmtQual_Gd,-27100.056170372573,27100.056170372573,negative
7,cat__Condition2_PosN,-26801.897153538117,26801.897153538117,negative
8,cat__KitchenQual_Gd,-25601.09296166141,25601.09296166141,negative
9,cat__Exterior2nd_ImStucc,25076.222499991156,25076.222499991156,positive
10,cat__BsmtQual_TA,-24749.90402173508,24749.90402173508,negative
11,cat__KitchenQual_TA,-24633.35781256802,24633.35781256802,negative
12,cat__Exterior1st_BrkFace,22938.398087386773,22938.398087386773,positive
13,cat__Neighborhood_Mitchel,-20955.213306049514,20955.213306049514,negative
14,cat__LandContour_Lvl,19762.506805128003,19762.506805128003,positive
15,cat__LotShape_IR3,-18275.833642452337,18275.833642452337,negative
16,cat__Neighborhood_Crawfor,18106.44676934429,18106.44676934429,positive
17,cat__RoofMatl_WdShngl,18045.68232985853,18045.68232985853,positive
18,cat__BsmtExposure_Gd,16489.708885800184,16489.708885800184,positive
19,cat__Neighborhood_Edwards,-16230.229225904453,16230.229225904453,negative
20,cat__Condition2_Norm,16118.697638683914,16118.697638683914,positive
21,cat__BsmtQual_Fa,-16117.848086004251,16117.848086004251,negative
22,cat__KitchenQual_Fa,-15509.189228564404,15509.189228564404,negative
23,cat__LotShape_IR2,14507.551995549624,14507.551995549624,positive
24,cat__BldgType_2fmCon,14076.351829722864,14076.351829722864,positive
25,cat__Neighborhood_Gilbert,-13828.022959750373,13828.022959750373,negative
26,cat__Neighborhood_NWAmes,-13656.147773925417,13656.147773925417,negative
27,cat__GarageQual_Fa,-13428.24351038759,13428.24351038759,negative
28,cat__ExterQual_TA,-12665.24732977936,12665.24732977936,negative
29,cat__BldgType_Twnhs,-12588.588417258889,12588.588417258889,negative
30,cat__Functional_Typ,12548.853915354997,12548.853915354997,positive
31,cat__Condition1_Norm,11796.136257023576,11796.136257023576,positive
32,cat__Neighborhood_NAmes,-11775.199914650997,11775.199914650997,negative
33,cat__BldgType_TwnhsE,-11615.130545216109,11615.130545216109,negative
34,cat__LotConfig_CulDSac,11428.16995105525,11428.16995105525,positive
35,cat__ExterQual_Gd,-11371.144399526136,11371.144399526136,negative
36,num__GarageCars,10975.631839223539,10975.631839223539,positive
37,cat__Exterior1st_Stucco,-10886.911867669785,10886.911867669785,negative
38,cat__LotConfig_FR2,-10833.74495005854,10833.74495005854,negative
39,cat__HouseStyle_1Story,10707.058994336088,10707.058994336088,positive
40,cat__Neighborhood_Timber,-10570.152734448582,10570.152734448582,negative
41,cat__Exterior2nd_Wd Shng,-10350.601199870871,10350.601199870871,negative
42,cat__Condition1_PosN,-10156.77518190181,10156.77518190181,negative
43,cat__SaleCondition_Alloca,10151.479498515204,10151.479498515204,positive
44,cat__Condition1_RRAe,-10141.298611082993,10141.298611082993,negative
45,cat__HouseStyle_2Story,-9925.098991325573,9925.098991325573,negative
46,cat__Neighborhood_Sawyer,-9755.876266680722,9755.876266680722,negative
47,num__KitchenAbvGr,-9669.537971554437,9669.537971554437,negative
48,cat__Exterior2nd_Stucco,-9565.753341715183,9565.753341715183,negative
49,cat__LandSlope_Mod,9272.284163628083,9272.284163628083,positive
50,cat__Neighborhood_SWISU,-9199.8228356683,9199.8228356683,negative
51,cat__GarageQual_Gd,9151.792999226902,9151.792999226902,positive
52,cat__Exterior2nd_BrkFace,9149.507479012802,9149.507479012802,positive
53,cat__FireplaceQu_Fa,-8970.703986548835,8970.703986548835,negative
54,num__BsmtFullBath,8780.256337126944,8780.256337126944,positive
55,cat__RoofMatl_CompShg,8780.039014040263,8780.039014040263,positive
56,cat__HouseStyle_1.5Unf,8752.053147542694,8752.053147542694,positive
57,num__OverallQual,8551.404926064915,8551.404926064915,positive
58,cat__Foundation_PConc,8193.348594892277,8193.348594892277,positive
59,cat__BsmtCond_TA,8038.180017794097,8038.180017794097,positive
60,cat__HouseStyle_SLvl,7844.783189992733,7844.783189992733,positive
61,cat__Heating_OthW,-7413.201650294833,7413.201650294833,negative
62,cat__SaleType_ConLD,7344.63588931583,7344.63588931583,positive
63,cat__Neighborhood_Somerst,7171.127855484637,7171.127855484637,positive
64,cat__MasVnrType_Stone,7050.15217314321,7050.15217314321,positive
65,cat__GarageQual_TA,-6963.592258343826,6963.592258343826,negative
66,cat__MSZoning_FV,6751.370224132321,6751.370224132321,positive
67,cat__BsmtFinType1_LwQ,-6600.418327688671,6600.418327688671,negative
68,cat__RoofStyle_Gable,-6584.471449583413,6584.471449583413,negative
69,cat__SaleCondition_Partial,6541.8523814125465,6541.8523814125465,positive
70,cat__SaleType_CWD,6514.501399335798,6514.501399335798,positive
71,cat__Neighborhood_OldTown,-6512.397224030292,6512.397224030292,negative
72,cat__Exterior2nd_Plywood,-6495.361344977194,6495.361344977194,negative
73,num__FullBath,6439.57009163619,6439.57009163619,positive
74,cat__Street_Pave,6383.68000790767,6383.68000790767,positive
75,cat__Neighborhood_Veenker,6380.938104617804,6380.938104617804,positive
76,cat__BsmtFinType1_Unf,-6085.309485411561,6085.309485411561,negative
77,cat__Functional_Maj2,-5954.1517375265485,5954.1517375265485,negative
78,cat__Condition1_RRAn,5903.521612590778,5903.521612590778,positive
79,cat__BsmtExposure_No,-5878.659244624879,5878.659244624879,negative
80,cat__HeatingQC_Gd,-5845.37188726983,5845.37188726983,negative
81,cat__HouseStyle_SFoyer,5800.978130486653,5800.978130486653,positive
82,cat__LandContour_Low,5711.0295165586995,5711.0295165586995,positive
83,cat__GarageCond_Po,-5530.298244318462,5530.298244318462,negative
84,cat__Exterior1st_HdBoard,-5387.273492750617,5387.273492750617,negative
85,cat__RoofStyle_Hip,-5354.416376160238,5354.416376160238,negative
86,cat__Condition1_PosA,5336.095578322246,5336.095578322246,positive
87,cat__Neighborhood_CollgCr,-5312.098419320292,5312.098419320292,negative
88,cat__Condition2_PosA,5256.49115330763,5256.49115330763,positive
89,cat__Heating_GasW,5240.742430148516,5240.742430148516,positive
90,cat__BldgType_Duplex,-5224.805463931002,5224.805463931002,negative
91,cat__MasVnrType_BrkFace,5193.562755999787,5193.562755999787,positive
92,cat__HouseStyle_2.5Unf,-5144.298757139217,5144.298757139217,negative
93,cat__Neighborhood_IDOTRR,-5110.858849731586,5110.858849731586,negative
94,cat__BsmtFinType2_BLQ,-5072.7606856510165,5072.7606856510165,negative
95,cat__GarageType_Attchd,5052.280702028148,5052.280702028148,positive
96,cat__Fence_MnPrv,4990.96148235918,4990.96148235918,positive
97,num__OverallCond,4957.092747105456,4957.092747105456,positive
98,cat__LotConfig_FR3,-4877.292185279352,4877.292185279352,negative
99,cat__SaleType_New,4875.35864176893,4875.35864176893,positive
100,cat__BsmtFinType2_LwQ,-4875.208379601642,4875.208379601642,negative
101,cat__BsmtCond_Gd,4810.782460496647,4810.782460496647,positive
102,cat__Foundation_Wood,-4747.376656914427,4747.376656914427,negative
103,cat__Foundation_CBlock,4729.040405102357,4729.040405102357,positive
104,cat__Functional_Sev,-4727.111400478042,4727.111400478042,negative
105,cat__GarageCond_TA,4665.017151621184,4665.017151621184,positive
106,cat__HouseStyle_2.5Fin,-4611.534297101794,4611.534297101794,negative
107,cat__RoofStyle_Mansard,4422.6746098532485,4422.6746098532485,positive
108,num__Fireplaces,4398.288772147834,4398.288772147834,positive
109,cat__FireplaceQu_Gd,-4362.707101157911,4362.707101157911,negative
110,cat__PoolQC_Fa,-4010.8476649585436,4010.8476649585436,negative
111,cat__Utilities_NoSeWa,-3907.466104538738,3907.466104538738,negative
112,cat__ExterQual_Fa,-3807.380374090861,3807.380374090861,negative
113,cat__Fence_GdWo,3695.79007966112,3695.79007966112,positive
114,cat__GarageType_Detchd,3690.3248133979587,3690.3248133979587,positive
115,cat__Heating_Wall,3680.7121074858223,3680.7121074858223,positive
116,cat__Alley_Pave,-3637.241921668232,3637.241921668232,negative
117,cat__FireplaceQu_Po,-3610.483271632383,3610.483271632383,negative
118,cat__Neighborhood_BrDale,3527.8167079280565,3527.8167079280565,positive
119,cat__SaleType_Oth,3434.7427638816735,3434.7427638816735,positive
120,cat__Fence_MnWw,-3367.9687381138115,3367.9687381138115,negative
121,cat__Neighborhood_SawyerW,-3280.1806238888867,3280.1806238888867,negative
122,cat__SaleType_Con,3258.0460235902406,3258.0460235902406,positive
123,cat__BsmtFinType2_GLQ,-3171.800189989391,3171.800189989391,negative
124,cat__MiscFeature_TenC,-3155.929586810375,3155.929586810375,negative
125,num__TotRmsAbvGrd,3116.949444479053,3116.949444479053,positive
126,cat__MiscFeature_Shed,3102.9170992044037,3102.9170992044037,positive
127,cat__GarageCond_Gd,-3049.2290909024646,3049.2290909024646,negative
128,cat__CentralAir_Y,3043.1246874462786,3043.1246874462786,positive
129,cat__Neighborhood_BrkSide,3000.298138498356,3000.298138498356,positive
130,cat__GarageType_CarPort,-2952.764282111097,2952.764282111097,negative
131,num__HalfBath,2942.859876739301,2942.859876739301,positive
132,cat__ExterCond_Gd,-2928.619334990278,2928.619334990278,negative
133,cat__GarageType_Basment,2899.583141764095,2899.583141764095,positive
134,cat__Exterior1st_WdShing,-2853.888680955395,2853.888680955395,negative
135,cat__Electrical_FuseF,-2788.3722940041007,2788.3722940041007,negative
136,cat__SaleCondition_AdjLand,2695.0439904966697,2695.0439904966697,positive
137,cat__Exterior1st_Plywood,2659.6978583110317,2659.6978583110317,positive
138,cat__Exterior2nd_MetalSd,-2627.323177121409,2627.323177121409,negative
139,cat__Exterior1st_Wd Sdng,-2626.0808609402943,2626.0808609402943,negative
140,cat__RoofMatl_WdShake,2589.5245701073445,2589.5245701073445,positive
141,cat__Exterior2nd_CmentBd,-2520.39276062944,2520.39276062944,negative
142,cat__Exterior2nd_Stone,-2419.2177744212795,2419.2177744212795,negative
143,cat__Electrical_FuseP,-2325.769309259346,2325.769309259346,negative
144,cat__BsmtExposure_Mn,-2269.847021145649,2269.847021145649,negative
145,cat__Exterior2nd_Brk Cmn,-2127.4447666814194,2127.4447666814194,negative
146,cat__MSZoning_RM,-2086.067271503897,2086.067271503897,negative
147,cat__Foundation_Stone,2054.0495251335105,2054.0495251335105,positive
148,cat__LandSlope_Sev,-2032.813835181634,2032.813835181634,negative
149,cat__MSZoning_RL,1997.127513345571,1997.127513345571,positive
150,cat__Neighborhood_MeadowV,-1950.439440143167,1950.439440143167,negative
151,cat__GarageFinish_RFn,-1931.1600089708159,1931.1600089708159,negative
152,cat__Functional_Min1,-1925.90729057413,1925.90729057413,negative
153,cat__RoofMatl_Tar&Grv,1905.7428415948398,1905.7428415948398,positive
154,cat__Neighborhood_ClearCr,-1871.7344756088012,1871.7344756088012,negative
155,cat__BsmtFinType1_GLQ,1859.447326754804,1859.447326754804,positive
156,cat__GarageQual_Po,-1781.1584189898465,1781.1584189898465,negative
157,cat__RoofStyle_Shed,1762.35220945147,1762.35220945147,positive
158,num__BedroomAbvGr,-1716.8289843552895,1716.8289843552895,negative
159,cat__SaleType_ConLI,-1667.5057366879375,1667.5057366879375,negative
160,cat__Condition2_RRAn,1580.142977677087,1580.142977677087,positive
161,cat__Heating_GasA,-1490.2822109216368,1490.2822109216368,negative
162,cat__Exterior1st_VinylSd,-1483.3871753390595,1483.3871753390595,negative
163,cat__Functional_Mod,1439.5925251207652,1439.5925251207652,positive
164,cat__GarageType_BuiltIn,1427.2192435565878,1427.2192435565878,positive
165,cat__RoofStyle_Gambrel,1398.0836966679585,1398.0836966679585,positive
166,cat__SaleCondition_Normal,1350.3500714171967,1350.3500714171967,positive
167,cat__Foundation_Slab,-1314.530612064015,1314.530612064015,negative
168,cat__Functional_Min2,-1289.916411542946,1289.916411542946,negative
169,cat__Exterior2nd_HdBoard,1260.195648400008,1260.195648400008,positive
170,cat__GarageCond_Fa,1169.2793734651775,1169.2793734651775,positive
171,cat__RoofMatl_Roll,1148.185236717963,1148.185236717963,positive
172,cat__ExterCond_TA,-1139.7284903693078,1139.7284903693078,negative
173,cat__FireplaceQu_TA,1111.8389318582472,1111.8389318582472,positive
174,cat__HeatingQC_Po,-1106.9913103381439,1106.9913103381439,negative
175,cat__Exterior2nd_Wd Sdng,1105.4514248840978,1105.4514248840978,positive
176,cat__Exterior1st_AsphShn,-1097.2018588233934,1097.2018588233934,negative
177,cat__Neighborhood_NPkVill,1089.0466124305326,1089.0466124305326,positive
178,cat__MSZoning_RH,-1066.8996890920937,1066.8996890920937,negative
179,cat__ExterCond_Po,-1023.8975197869111,1023.8975197869111,negative
180,cat__Condition2_RRNn,1020.5931790885295,1020.5931790885295,positive
181,cat__PavedDrive_P,-926.8609473493435,926.8609473493435,negative
182,cat__SaleType_ConLw,-862.2081792371657,862.2081792371657,negative
183,cat__Condition1_RRNe,861.0083428571584,861.0083428571584,positive
184,cat__Condition1_Feedr,-801.8449773967258,801.8449773967258,negative
185,cat__BsmtFinType1_BLQ,-766.5855993588766,766.5855993588766,negative
186,cat__LotShape_Reg,766.3124174863254,766.3124174863254,positive
187,cat__SaleType_WD,-759.7882694997135,759.7882694997135,negative
188,cat__Condition2_RRAe,-743.7257982374338,743.7257982374338,negative
189,cat__Exterior1st_BrkComm,-741.3593928179347,741.3593928179347,negative
190,cat__ExterCond_Fa,730.3023289774004,730.3023289774004,positive
191,cat__HeatingQC_TA,-700.1474245850036,700.1474245850036,negative
192,cat__Heating_Grav,-689.2022357630439,689.2022357630439,negative
193,cat__GarageFinish_Unf,669.5679158733177,669.5679158733177,positive
194,cat__Electrical_SBrkr,657.750990684645,657.750990684645,positive
195,cat__BsmtFinType2_Rec,-608.2941600535574,608.2941600535574,negative
196,cat__LotConfig_Inside,-595.6862048006652,595.6862048006652,negative
197,cat__RoofMatl_Metal,536.215464785551,536.215464785551,positive
198,cat__Exterior2nd_Other,-525.5834955424747,525.5834955424747,negative
199,cat__BsmtFinType2_Unf,505.0657652118918,505.0657652118918,positive
200,cat__Exterior1st_ImStucc,-497.9595852668935,497.9595852668935,negative
201,cat__Neighborhood_Blueste,-446.3504411544055,446.3504411544055,negative
202,cat__Condition1_RRNn,-438.58448132181235,438.58448132181235,negative
203,cat__Exterior1st_Stone,281.7735569629661,281.7735569629661,positive
204,cat__Exterior1st_MetalSd,-241.18577135230842,241.18577135230842,negative
205,cat__Exterior1st_CemntBd,-220.63749190533846,220.63749190533846,negative
206,num__MoSold,-208.63827867398948,208.63827867398948,negative
207,num__YrSold,-202.67366776850292,202.67366776850292,negative
208,num__YearBuilt,200.79880613551143,200.79880613551143,positive
209,num__MSSubClass,-186.96264083048703,186.96264083048703,negative
210,cat__HeatingQC_Fa,170.54996192314408,170.54996192314408,positive
211,num__LotFrontage,-157.59816768253768,157.59816768253768,negative
212,cat__PavedDrive_Y,156.4425145169094,156.4425145169094,positive
213,cat__BsmtFinType1_Rec,150.3601817362664,150.3601817362664,positive
214,cat__BsmtCond_Po,145.97046887959266,145.97046887959266,positive
215,num__YearRemodAdd,129.45377083650783,129.45377083650783,positive
216,num__BsmtHalfBath,-108.35670394840892,108.35670394840892,negative
217,cat__Exterior2nd_CBlock,-105.78715622977715,105.78715622977715,negative
218,cat__Exterior1st_CBlock,-105.78715622977715,105.78715622977715,negative
219,cat__Exterior2nd_AsphShn,-77.12117539586326,77.12117539586326,negative
220,cat__SaleCondition_Family,72.9157125500677,72.9157125500677,positive
221,num__3SsnPorch,62.828375080056915,62.828375080056915,positive
222,cat__Condition2_Feedr,50.1318843482307,50.1318843482307,positive
223,num__PoolArea,42.95661254953603,42.95661254953603,positive
224,num__ScreenPorch,37.58739688895231,37.58739688895231,positive
225,num__GrLivArea,35.86823360543759,35.86823360543759,positive
226,num__2ndFlrSF,21.75208754067659,21.75208754067659,positive
227,num__WoodDeckSF,21.69493043862456,21.69493043862456,positive
228,num__LowQualFinSF,14.690617946374733,14.690617946374733,positive
229,cat__MiscFeature_Othr,9.216887353488882,9.216887353488882,positive
230,cat__Exterior2nd_VinylSd,-9.065395781901731,9.065395781901731,negative
231,num__EnclosedPorch,8.986111784867495,8.986111784867495,positive
232,num__MasVnrArea,4.42874105700648,4.42874105700648,positive
233,num__GarageYrBlt,-3.6787188265945883,3.6787188265945883,negative
234,num__BsmtFinSF2,2.7643294054515213,2.7643294054515213,positive
235,num__TotalBsmtSF,2.5310066743509285,2.5310066743509285,positive
236,num__OpenPorchSF,-2.18012563377375,2.18012563377375,negative
237,num__GarageArea,0.9346081698136286,0.9346081698136286,positive
238,num__1stFlrSF,-0.5744701710309424,0.5744701710309424,negative
239,num__LotArea,0.41175873913291805,0.41175873913291805,positive
240,num__BsmtFinSF1,-0.1602755812404904,0.1602755812404904,negative
241,num__MiscVal,-0.15222449679759245,0.15222449679759245,negative
242,num__BsmtUnfSF,-0.07304811804470712,0.07304811804470712,negative
